hole1,hole2,max,min,mean,25%,50%,75%,var,stat
C3,S4,180,4,44.200000000000003,4.75,19.0,69.0,2802.1600000000008,52.935432368121837
C3,S5,115,5,42.5,8.0,31.0,67.75,1404.05,37.470655185091175
C3,S6,115,6,45.600000000000001,9.0,32.5,68.5,1654.0400000000002,40.669890582591933
C3,S7,178,7,55.100000000000001,10.0,33.0,83.0,2964.29,54.445293644170931
C3,S8,92,8,25.399999999999999,8.0,11.0,29.75,764.83999999999992,27.655740814521675
C3,S9,114,9,41.899999999999999,9.75,34.0,65.5,1123.29,33.515518793538014
C3,ST,114,10,31.300000000000001,10.75,13.0,36.25,1013.2100000000003,31.830959771895039
C3,SJ,70,11,26.0,11.75,14.0,26.75,514.79999999999995,22.689204481426842
C3,SQ,96,12,40.799999999999997,12.75,35.5,61.75,870.96000000000004,29.512031444819247
C3,SK,87,13,34.299999999999997,16.0,16.0,55.0,728.00999999999999,26.981660438156879
C4,C5,153,5,47.600000000000001,11.75,32.5,75.0,2089.4400000000001,45.710392691378182
C4,C6,178,6,57.799999999999997,13.0,48.5,68.5,2713.96,52.095681202955781
C4,C7,177,7,50.200000000000003,8.0,21.5,58.25,3585.559999999999,59.879545756460104
C4,C8,180,12,74.799999999999997,33.0,51.0,131.0,3615.3599999999997,60.127863757163361
C4,C9,93,9,30.199999999999999,9.0,11.0,55.0,979.3599999999999,31.294727990509838
C4,CT,70,10,35.799999999999997,18.5,38.0,38.0,417.96000000000004,20.444070044880984
C4,CJ,151,11,63.200000000000003,32.0,65.5,75.5,1817.9599999999998,42.637542143045721
C4,CQ,186,12,77.799999999999997,16.0,51.0,139.5,4757.96,68.977967496875408
C4,CK,153,13,50.799999999999997,14.0,17.0,63.5,2910.7599999999998,53.951459665147148
C4,DA,98,14,63.299999999999997,41.75,73.0,85.5,835.21000000000004,28.900000000000002
C4,D2,66,4,21.800000000000001,4.0,6.0,31.5,550.7600000000001,23.468276459936295
C4,D3,186,31,83.599999999999994,31.25,48.5,149.25,4243.2399999999998,65.140156585626968
C4,D4,88,32,62.0,40.25,68.0,73.75,439.80000000000001,20.971409108593537
C4,D5,177,5,45.5,5.0,7.0,65.0,3227.8499999999999,56.814170767511868
C4,D6,88,6,33.100000000000001,10.0,34.0,34.0,678.8900000000001,26.055517649818437
C4,D7,116,7,39.200000000000003,11.0,21.5,65.0,1251.3600000000001,35.374567135160824
C4,D8,36,8,17.199999999999999,8.0,10.0,30.0,153.75999999999999,12.4
C4,D9,93,9,45.399999999999999,13.0,39.0,72.0,1175.8399999999999,34.290523472236465
C4,DT,94,10,42.700000000000003,11.0,32.0,69.25,1028.01,32.062595029098937
C4,DJ,88,11,46.299999999999997,32.0,35.5,71.0,651.21000000000004,25.518816586981458
C4,DQ,72,12,42.399999999999999,20.0,36.0,68.25,542.03999999999996,23.281752511355325
C4,DK,189,13,36.100000000000001,13.0,15.0,28.25,2681.6900000000005,51.78503644876578
C4,HA,82,14,35.700000000000003,15.0,32.0,42.0,495.60999999999996,22.26229997102725
C4,H2,69,4,33.799999999999997,4.5,30.0,62.0,739.75999999999999,27.198529372008334
C4,H3,116,4,45.700000000000003,31.0,31.5,67.0,1059.2099999999998,32.545506602294573
C4,H4,88,32,65.400000000000006,67.25,72.5,73.0,306.44,17.505427729707151
C4,H5,177,5,66.200000000000003,15.0,66.0,103.5,2884.3599999999997,53.706237998951295
C4,H6,34,6,21.199999999999999,10.0,22.0,34.0,165.76000000000005,12.874781551544867
C4,H7,116,7,51.700000000000003,11.0,50.0,72.75,1675.6099999999999,40.934215517095232
C4,H8,117,8,53.100000000000001,32.0,48.5,71.75,1141.49,33.785943822838512
C4,H9,181,9,40.299999999999997,9.0,9.0,49.75,2966.8099999999995,54.468431223966782
C4,HT,181,10,62.299999999999997,32.0,54.5,76.25,2301.8100000000004,47.97718207648299
C4,HJ,72,11,37.399999999999999,11.0,32.0,64.25,628.63999999999999,25.07269431074371
C4,HQ,96,12,40.700000000000003,12.0,16.0,71.75,1170.8099999999999,34.217100987664047
C4,HK,76,13,29.899999999999999,17.0,24.5,38.75,345.09000000000003,18.576598181583194
C4,SA,98,14,37.5,14.0,30.0,42.0,787.04999999999995,28.054411417814489
C4,S2,86,4,28.600000000000001,4.0,18.0,31.5,953.63999999999999,30.881062157898651
C4,S3,116,7,50.899999999999999,31.0,63.0,63.0,966.88999999999999,31.094854879867185
C4,S4,186,32,75.599999999999994,32.0,63.5,70.25,3070.0400000000004,55.407941669042359
